DATE,CPIAUCSL_NBD20190101
1974-11-01,20.37845
1974-12-01,20.53672
1975-01-01,20.69500
1975-02-01,20.81371
1975-03-01,20.89285
1975-04-01,20.97199
1975-05-01,21.01156
1975-06-01,21.16984
1975-07-01,21.36769
1975-08-01,21.44683
1975-09-01,21.60511
1975-10-01,21.72382
1975-11-01,21.88210
1975-12-01,22.00081
1976-01-01,22.07995
1976-02-01,22.11952
1976-03-01,22.15909
1976-04-01,22.19866
1976-05-01,22.31737
1976-06-01,22.43607
1976-07-01,22.55478
1976-08-01,22.67349
1976-09-01,22.79220
1976-10-01,22.91091
1976-11-01,22.99005
1976-12-01,23.10876
1977-01-01,23.22747
1977-02-01,23.46489
1977-03-01,23.58360
1977-04-01,23.74188
1977-05-01,23.82102
1977-06-01,23.93973
1977-07-01,24.05844
1977-08-01,24.17715
1977-09-01,24.25629
1977-10-01,24.37500
1977-11-01,24.53327
1977-12-01,24.65198
1978-01-01,24.81026
1978-02-01,24.92897
1978-03-01,25.08725
1978-04-01,25.28510
1978-05-01,25.52252
1978-06-01,25.72037
1978-07-01,25.91822
1978-08-01,26.07650
1978-09-01,26.31392
1978-10-01,26.55133
1978-11-01,26.70961
1978-12-01,26.86789
1979-01-01,27.10531
1979-02-01,27.38230
1979-03-01,27.65929
1979-04-01,27.93628
1979-05-01,28.25284
1979-06-01,28.56939
1979-07-01,28.88595
1979-08-01,29.16294
1979-09-01,29.43993
1979-10-01,29.75649
1979-11-01,30.07305
1979-12-01,30.42917
1980-01-01,30.86444
1980-02-01,31.26014
1980-03-01,31.69541
1980-04-01,32.01197
1980-05-01,32.32852
1980-06-01,32.64508
1980-07-01,32.68465
1980-08-01,32.92207
1980-09-01,33.19906
1980-10-01,33.51562
1980-11-01,33.87175
1980-12-01,34.18830
1981-01-01,34.50486
1981-02-01,34.82142
1981-03-01,35.05884
1981-04-01,35.25669
1981-05-01,35.49411
1981-06-01,35.81067
1981-07-01,36.20636
1981-08-01,36.48335
1981-09-01,36.83948
1981-10-01,36.95819
1981-11-01,37.11647
1981-12-01,37.23518
1982-01-01,37.35389
1982-02-01,37.47260
1982-03-01,37.47260
1982-04-01,37.59131
1982-05-01,37.94744
1982-06-01,38.38270
1982-07-01,38.58055
1982-08-01,38.65969
1982-09-01,38.65969
1982-10-01,38.81797
1982-11-01,38.77840
1982-12-01,38.65969
1983-01-01,38.73883
1983-02-01,38.77840
1983-03-01,38.81797
1983-04-01,39.09496
1983-05-01,39.25324
1983-06-01,39.33238
1983-07-01,39.49066
1983-08-01,39.60937
1983-09-01,39.72808
1983-10-01,39.88636
1983-11-01,40.00506
1983-12-01,40.12377
1984-01-01,40.40076
1984-02-01,40.59861
1984-03-01,40.71732
1984-04-01,40.87560
1984-05-01,40.95474
1984-06-01,41.03388
1984-07-01,41.19216
1984-08-01,41.31087
1984-09-01,41.42958
1984-10-01,41.58786
1984-11-01,41.66700
1984-12-01,41.74614
1985-01-01,41.82528
1985-02-01,42.06269
1985-03-01,42.26054
1985-04-01,42.33968
1985-05-01,42.41882
1985-06-01,42.53753
1985-07-01,42.61667
1985-08-01,42.69581
1985-09-01,42.77495
1985-10-01,42.93323
1985-11-01,43.13108
1985-12-01,43.32893
1986-01-01,43.48721
1986-02-01,43.40807
1986-03-01,43.17065
1986-04-01,43.01237
1986-05-01,43.13108
1986-06-01,43.28936
1986-07-01,43.32893
1986-08-01,43.36850
1986-09-01,43.52678
1986-10-01,43.60592
1986-11-01,43.68506
1986-12-01,43.84334
1987-01-01,44.08075
1987-02-01,44.23903
1987-03-01,44.39731
1987-04-01,44.59516
1987-05-01,44.71387
1987-06-01,44.91172
1987-07-01,45.03043
1987-08-01,45.22828
1987-09-01,45.38656
1987-10-01,45.50527
1987-11-01,45.66355
1987-12-01,45.74269
1988-01-01,45.90096
1988-02-01,45.98010
1988-03-01,46.09881
1988-04-01,46.37580
1988-05-01,46.49451
1988-06-01,46.69236
1988-07-01,46.89021
1988-08-01,47.08806
1988-09-01,47.28591
1988-10-01,47.44419
1988-11-01,47.60247
1988-12-01,47.76075
1989-01-01,47.95859
1989-02-01,48.11687
1989-03-01,48.35429
1989-04-01,48.71042
1989-05-01,48.94784
1989-06-01,49.10612
1989-07-01,49.26440
1989-08-01,49.26440
1989-09-01,49.38311
1989-10-01,49.62053
1989-11-01,49.81837
1989-12-01,49.97665
1990-01-01,50.45149
1990-02-01,50.64934
1990-03-01,50.88676
1990-04-01,51.00547
1990-05-01,51.08461
1990-06-01,51.40117
1990-07-01,51.63859
1990-08-01,52.07385
1990-09-01,52.42998
1990-10-01,52.78611
1990-11-01,52.90482
1990-12-01,53.10267
1991-01-01,53.30052
1991-02-01,53.34009
1991-03-01,53.34009
1991-04-01,53.45880
1991-05-01,53.65664
1991-06-01,53.81492
1991-07-01,53.89406
1991-08-01,54.05234
1991-09-01,54.21062
1991-10-01,54.28976
1991-11-01,54.52718
1991-12-01,54.68546
1992-01-01,54.72503
1992-02-01,54.84374
1992-03-01,55.04159
1992-04-01,55.16030
1992-05-01,55.27901
1992-06-01,55.43729
1992-07-01,55.59557
1992-08-01,55.71427
1992-09-01,55.83298
1992-10-01,56.07040
1992-11-01,56.22868
1992-12-01,56.30782
1993-01-01,56.50567
1993-02-01,56.62438
1993-03-01,56.70352
1993-04-01,56.90137
1993-05-01,57.05965
1993-06-01,57.09922
1993-07-01,57.17836
1993-08-01,57.29707
1993-09-01,57.37621
1993-10-01,57.61362
1993-11-01,57.77190
1993-12-01,57.89061
1994-01-01,57.89061
1994-02-01,58.04889
1994-03-01,58.20717
1994-04-01,58.24674
1994-05-01,58.36545
1994-06-01,58.52373
1994-07-01,58.72158
1994-08-01,58.95900
1994-09-01,59.07771
1994-10-01,59.11728
1994-11-01,59.27556
1994-12-01,59.39427
1995-01-01,59.55254
1995-02-01,59.71082
1995-03-01,59.82953
1995-04-01,60.06695
1995-05-01,60.18566
1995-06-01,60.30437
1995-07-01,60.38351
1995-08-01,60.50222
1995-09-01,60.58136
1995-10-01,60.73964
1995-11-01,60.81878
1995-12-01,60.89792
1996-01-01,61.21448
1996-02-01,61.33319
1996-03-01,61.53103
1996-04-01,61.76845
1996-05-01,61.88716
1996-06-01,62.00587
1996-07-01,62.12458
1996-08-01,62.20372
1996-09-01,62.40157
1996-10-01,62.59942
1996-11-01,62.79727
1996-12-01,62.95555
1997-01-01,63.07426
1997-02-01,63.19297
1997-03-01,63.23254
1997-04-01,63.27211
1997-05-01,63.27211
1997-06-01,63.39082
1997-07-01,63.46995
1997-08-01,63.62823
1997-09-01,63.78651
1997-10-01,63.90522
1997-11-01,63.98436
1997-12-01,64.02393
1998-01-01,64.10307
1998-02-01,64.10307
1998-03-01,64.10307
1998-04-01,64.18221
1998-05-01,64.34049
1998-06-01,64.41963
1998-07-01,64.57791
1998-08-01,64.65705
1998-09-01,64.69662
1998-10-01,64.85490
1998-11-01,64.93404
1998-12-01,65.05275
1999-01-01,65.17146
1999-02-01,65.17146
1999-03-01,65.21103
1999-04-01,65.64629
1999-05-01,65.68586
1999-06-01,65.68586
1999-07-01,65.96285
1999-08-01,66.12113
1999-09-01,66.39812
1999-10-01,66.51683
1999-11-01,66.63554
1999-12-01,66.79382
2000-01-01,66.99167
2000-02-01,67.26866
2000-03-01,67.66435
2000-04-01,67.62478
2000-05-01,67.74349
2000-06-01,68.13919
2000-07-01,68.33704
2000-08-01,68.33704
2000-09-01,68.69317
2000-10-01,68.81188
2000-11-01,68.93059
2000-12-01,69.08887
2001-01-01,69.48456
2001-02-01,69.64284
2001-03-01,69.68241
2001-04-01,69.80112
2001-05-01,70.15725
2001-06-01,70.31553
2001-07-01,70.19682
2001-08-01,70.19682
2001-09-01,70.47381
2001-10-01,70.27596
2001-11-01,70.23639
2001-12-01,70.19682
2002-01-01,70.31553
2002-02-01,70.43424
2002-03-01,70.63209
2002-04-01,70.94865
2002-05-01,71.02779
2002-06-01,71.06736
2002-07-01,71.22563
2002-08-01,71.42348
2002-09-01,71.54219
2002-10-01,71.70047
2002-11-01,71.81918
2002-12-01,71.93789
2003-01-01,72.25445
2003-02-01,72.65015
2003-03-01,72.76886
2003-04-01,72.49187
2003-05-01,72.37316
2003-06-01,72.45230
2003-07-01,72.68972
2003-08-01,73.00628
2003-09-01,73.24369
2003-10-01,73.16455
2003-11-01,73.20412
2003-12-01,73.40197
2004-01-01,73.71853
2004-02-01,73.87681
2004-03-01,74.03509
2004-04-01,74.15380
2004-05-01,74.47036
2004-06-01,74.74735
2004-07-01,74.82649
2004-08-01,74.86606
2004-09-01,75.10348
2004-10-01,75.49917
2004-11-01,75.85530
2004-12-01,75.85530
2005-01-01,75.81573
2005-02-01,76.13229
2005-03-01,76.40928
2005-04-01,76.64670
2005-05-01,76.60713
2005-06-01,76.64670
2005-07-01,77.12153
2005-08-01,77.59637
2005-09-01,78.66476
2005-10-01,78.78347
2005-11-01,78.38777
2005-12-01,78.38777
2006-01-01,78.86261
2006-02-01,78.90218
2006-03-01,79.02088
2006-04-01,79.41658
2006-05-01,79.65400
2006-06-01,79.85185
2006-07-01,80.28712
2006-08-01,80.64325
2006-09-01,80.24755
2006-10-01,79.89142
2006-11-01,79.93099
2006-12-01,80.36626
2007-01-01,80.49961
2007-02-01,80.81181
2007-03-01,81.23205
2007-04-01,81.47580
2007-05-01,81.81253
2007-06-01,82.00207
2007-07-01,82.14809
2007-08-01,82.17341
2007-09-01,82.52162
2007-10-01,82.77606
2007-11-01,83.42659
2007-12-01,83.66836
2008-01-01,83.95682
2008-02-01,84.15981
2008-03-01,84.46094
2008-04-01,84.65642
2008-05-01,85.15737
2008-06-01,86.04967
2008-07-01,86.66419
2008-08-01,86.53519
2008-09-01,86.60918
2008-10-01,85.86448
2008-11-01,84.34421
2008-12-01,83.64976
2009-01-01,83.86146
2009-02-01,84.16694
2009-03-01,84.08384
2009-04-01,84.16852
2009-05-01,84.29237
2009-06-01,84.99197
2009-07-01,84.96664
2009-08-01,85.25115
2009-09-01,85.41576
2009-10-01,85.67217
2009-11-01,85.95905
2009-12-01,86.00377
2010-01-01,86.05956
2010-02-01,85.97765
2010-03-01,86.00614
2010-04-01,86.02593
2010-05-01,85.98121
2010-06-01,85.94520
2010-07-01,86.10586
2010-08-01,86.23169
2010-09-01,86.37097
2010-10-01,86.67171
2010-11-01,86.89132
2010-12-01,87.24032
2011-01-01,87.52325
2011-02-01,87.80459
2011-03-01,88.25885
2011-04-01,88.67315
2011-05-01,88.95528
2011-06-01,88.95528
2011-07-01,89.18834
2011-08-01,89.46969
2011-09-01,89.66397
2011-10-01,89.72452
2011-11-01,89.89031
2011-12-01,89.91168
2012-01-01,90.15662
2012-02-01,90.34932
2012-03-01,90.53847
2012-04-01,90.68883
2012-05-01,90.50127
2012-06-01,90.42648
2012-07-01,90.45260
2012-08-01,90.97809
2012-09-01,91.41217
2012-10-01,91.65869
2012-11-01,91.50476
2012-12-01,91.49368
2013-01-01,91.67491
2013-02-01,92.17270
2013-03-01,91.91352
2013-04-01,91.72160
2013-05-01,91.75959
2013-06-01,91.97802
2013-07-01,92.15806
2013-08-01,92.37807
2013-09-01,92.41289
2013-10-01,92.46235
2013-11-01,92.63290
2013-12-01,92.87783
2014-01-01,93.10298
2014-02-01,93.20547
2014-03-01,93.39580
2014-04-01,93.56991
2014-05-01,93.74797
2014-06-01,93.87183
